FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Flip
12041,0.124,"2,260",12.4,52.69183657,0.237829939,0.762170061
12043,0.124,"1,710",12.4,22.38579832,0.30962238,0.69037762
12045,0.126,"1,900",12.6,42.51627196,0.144027939,0.855972061
12047,0.166,"2,390",16.6,59.40711806,0.18584468,0.81415532
12049,0.143,"3,860",14.3,36.15588412,0.213834404,0.786165596
12051,0.15,"6,210",15,70.7026455,0.203025673,0.796974327
12053,0.138,"26,250",13.8,58.86903556,0.298401771,0.701598229
12055,0.142,"14,820",14.2,37.68700482,0.028394741,0.971605259
12057,0.114,"165,220",11.4,47.24259109,0.469362848,0.530637152
12059,0.162,"3,170",16.2,75.446324,0.109567623,0.890432377
12061,0.112,"17,650",11.2,60.74692475,0.295558418,0.704441582
12063,0.137,"6,520",13.7,64.40448082,0.125866301,0.874133699
12065,0.124,"1,770",12.4,34.93022592,0.282553537,0.717446463
12067,0.122,"1,050",12.2,66.04938984,0.109809391,0.890190609
12069,0.124,"44,100",12.4,12.49559327,0.008947904,0.991052096
12071,0.112,"84,750",11.2,64.72953339,0.02103742,0.97896258
12073,0.12,"34,920",12,40.53788305,0.462960163,0.537039837
12075,0.148,"6,060",14.8,22.62972535,0.17250645,0.82749355
12077,0.154,"1,280",15.4,24.42527382,0.133139783,0.866860217
12079,0.165,"3,070",16.5,53.97455618,0.047369371,0.952630629
12081,0.112,"44,000",11.2,35.68777791,0.294835267,0.705164733
12083,0.131,"47,350",13.1,46.11455989,0.127952836,0.872047164
12085,0.104,"16,750",10.4,62.38346799,0.173140048,0.826859952
12086,0.108,"291,150",10.8,39.27728363,0.382576298,0.617423702
12087,0.113,"8,520",11.3,68.36306299,0.092313058,0.907686942
12089,0.107,"9,210",10.7,48.63654708,0.466661734,0.533338266
12091,0.112,"23,190",11.2,24.86574206,0.160611471,0.839388529
12093,0.127,"5,270",12.7,58.0573831,0.031076595,0.968923405
12095,0.128,"175,830",12.8,40.68868488,0.185472928,0.814527072
12097,0.138,"50,030",13.8,22.95043436,0.242732945,0.757267055
12099,0.106,"157,710",10.6,61.3881432,0.117812671,0.882187329
12101,0.123,"66,430",12.3,120.3846829,0.09661576,0.90338424
12103,0.122,"118,890",12.2,199.5332699,0.214005071,0.785994929
12105,0.133,"93,610",13.3,168.1011741,0.250455605,0.749544395
12107,0.162,"11,930",16.2,170.6500247,0.172423162,0.827576838
12109,0.085,"21,830",8.5,134.0022998,0.039069218,0.960930782
12111,0.117,"37,400",11.7,161.7148027,0.339416129,0.660583871
12113,0.106,"18,980",10.6,122.1960327,0.057141802,0.942858198
12115,0.108,"46,190",10.8,153.7636564,0.0795211,0.9204789
12117,0.099,"46,120",9.9,186.5304785,0.202309908,0.797690092
12119,0.114,"14,800",11.4,144.5700073,0.225658424,0.774341576
12121,0.128,"5,650",12.8,181.5728164,0.245211666,0.754788334
12123,0.153,"3,330",15.3,127.2797809,0.214034786,0.785965214
12125,0.123,"1,880",12.3,172.948283,0.188860333,0.811139667
12127,0.129,"70,350",12.9,172.7150539,0.081061915,0.918938085
12129,0.082,"2,700",8.2,128.8167953,0.553923248,0.446076752
12131,0.118,"8,410",11.8,129.3901548,0.403557171,0.596442829
12133,0.162,"4,070",16.2,161.8508154,0.379052972,0.620947028
13001,0.142,"2,620",14.2,187.5378825,0.20558808,0.79441192
13003,0.149,"1,230",14.9,188.4554761,0.35516049,0.64483951
13005,0.162,"1,800",16.2,144.3279391,0.31941428,0.68058572
13007,0.147,450,14.7,138.7146646,0.126432908,0.873567092
13009,0.144,"6,470",14.4,165.635485,0.121611512,0.878388488
13011,0.127,"2,390",12.7,188.8436089,0.08620694,0.91379306
13013,0.101,"8,210",10.1,178.2945775,0.219949216,0.780050784
13015,0.118,"12,550",11.8,151.1449152,0.32808205,0.67191795
13017,0.172,"2,900",17.2,158.4212017,0.160587055,0.839412945
13019,0.163,"3,120",16.3,168.360147,0.034738104,0.965261896
13021,0.161,"24,670",16.1,145.8392523,0.142841566,0.857158434
13023,0.142,"1,830",14.2,173.632814,0.302496561,0.697503439
13025,0.146,"2,760",14.6,149.6807118,0.084682918,0.915317082
13027,0.14,"2,170",14,154.3909012,0.115492443,0.884507557
13029,0.098,"3,770",9.8,152.309573,0.231604094,0.768395906
13031,0.135,"10,530",13.5,196.2578211,0.132471524,0.867528476
13033,0.124,"2,810",12.4,142.9556778,0.198552485,0.801447515
13035,0.146,"3,560",14.6,191.597683,0.356494504,0.643505496
13037,0.141,890,14.1,193.5559058,0.201813379,0.798186621
13039,0.116,"6,280",11.6,175.4476899,0.320552037,0.679447963
13043,0.164,"1,770",16.4,183.3378788,0.167494469,0.832505531
13045,0.125,"14,890",12.5,173.3541406,0.063952315,0.936047685
